subject,cnd,d1,d5,d2,reac_corr,Transfer
7,Full,55.40716086,65.95190701,61.17833091,,393.9058142
8,Full,173.7090115,44.66483599,79.22655077,,
9,Full,155.4303065,104.0218025,131.3196713,,
10,Full,129.0317533,74.60240555,110.5543557,,
11,Full,101.9172303,59.18887786,86.46436004,,
12,Full,184.0590578,94.23784381,132.5668338,,
16,Control,134.7234008,101.6035743,,,
17,Reactivation,134.9342801,84.51903053,,0.733333333,513.7029293
18,Reactivation,100.6194094,111.8377156,,0.666666667,
19,Control,191.7936555,141.7083033,,,88.05827179
21,Reactivation,225.2537523,161.2805904,,0.533333333,
23,Reactivation,203.1194875,117.7488796,,1,257.4680699
24,Control,145.5208153,46.51387625,,,
27,Control,198.5304365,124.6599756,,,145.9409852
30,Full,114.7597221,88.15141436,123.6699092,,
34,Control,120.6847978,106.8630855,,,
35,Reactivation,56.01692386,51.9700877,,0.6,
36,Full,84.97485545,55.66342694,57.32606668,,79.37451232
37,Reactivation,82.05613421,50.16230494,,0.666666667,
39,Control,65.3476897,74.90834467,,,
40,Control,76.77299039,65.81361552,,,
41,Reactivation,82.1079229,52.96393199,,0.466666667,
45,Control,73.59603862,53.42362831,,,
50,Full,79.93133119,60.38587416,63.08473142,,120.8358225
52,Reactivation,90.70544428,47.73971381,,0.733333333,
53,Control,84.308395,47.59807322,,,217.026596
54,Reactivation,72.29317399,113.1399324,,0.933333333,
56,Control,145.4735096,113.8304431,,,118.0442428
62,Reactivation,216.4740679,30.69503416,,0.8667,
63,Full,204.8319114,146.7432727,171.9393751,,